species_count	selected_species_dirs	selected_species_names	gene_name	anatomical_entity	gene_tissue_label	gene_class	canonical_label	gene_number	anatomical_entity_letter	plot_label	species_order	species_dir	species_name	cell_mean_score	cell_std_score	cell_n	cell_status	expression_score	plot_order
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	adipose tissue	H2AJ:adipose tissue	variant	H2AJ:HGNC:14456	5	A	5:A	1	human	Homo sapiens	98.433125	0.1097098445901731	16	present_gold	98.433125	79
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	adipose tissue	H2AJ:adipose tissue	variant	H2AJ:HGNC:14456	5	A	5:A	2	bos_taurus	Bos taurus	92.95	2.3081767696604145	6	present_gold	92.95	79
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	adipose tissue	H2AJ:adipose tissue	variant	H2AJ:HGNC:14456	5	A	5:A	3	canis_lupus_familiaris	Canis lupus familiaris	76.97	0.0	1	present_gold	76.97	79
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	adipose tissue	H2AJ:adipose tissue	variant	H2AJ:HGNC:14456	5	A	5:A	4	sus_scrofa	Sus scrofa	98.64	0.282842712474623	2	present_gold	98.64	79
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	adult mammalian kidney	H2AJ:adult mammalian kidney	variant	H2AJ:HGNC:14456	5	B	5:B	1	human	Homo sapiens	93.00166666666668	4.784713980875752	12	present_gold	93.00166666666668	80
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	adult mammalian kidney	H2AJ:adult mammalian kidney	variant	H2AJ:HGNC:14456	5	B	5:B	2	bos_taurus	Bos taurus	93.89	1.0078359654890932	4	present_gold	93.89	80
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	adult mammalian kidney	H2AJ:adult mammalian kidney	variant	H2AJ:HGNC:14456	5	B	5:B	3	canis_lupus_familiaris	Canis lupus familiaris	87.70666666666666	6.562387776818234	3	present_gold	87.70666666666666	80
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	adult mammalian kidney	H2AJ:adult mammalian kidney	variant	H2AJ:HGNC:14456	5	B	5:B	4	sus_scrofa	Sus scrofa	97.28	1.114659888336645	4	present_gold	97.28	80
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	blood	H2AJ:blood	variant	H2AJ:HGNC:14456	5	C	5:C	1	human	Homo sapiens	90.41916666666668	4.567106852264353	36	present_gold	90.41916666666668	81
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	blood	H2AJ:blood	variant	H2AJ:HGNC:14456	5	C	5:C	2	bos_taurus	Bos taurus	97.2225	0.4311515588127518	4	present_gold	97.2225	81
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	blood	H2AJ:blood	variant	H2AJ:HGNC:14456	5	C	5:C	3	canis_lupus_familiaris	Canis lupus familiaris	94.06	0.0	1	present_gold	94.06	81
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	blood	H2AJ:blood	variant	H2AJ:HGNC:14456	5	C	5:C	4	sus_scrofa	Sus scrofa	92.36666666666667	0.244404037064314	3	present_gold	92.36666666666667	81
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	cerebellum	H2AJ:cerebellum	variant	H2AJ:HGNC:14456	5	D	5:D	1	human	Homo sapiens	80.753	1.4366322501678082	10	present_gold	80.753	82
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	cerebellum	H2AJ:cerebellum	variant	H2AJ:HGNC:14456	5	D	5:D	2	bos_taurus	Bos taurus	89.0	3.3866059705847102	3	present_gold	89.0	82
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AJ	cerebellum	H2AJ:cerebellum	variant	H2AJ:HGNC:14456	5	D	5:D	3	canis_lupus_familiaris	Canis lupus familiaris	79.1825	8.694198736322209	4	present_gold	79.1825	82
